geracao,fitness_melhor_individuo
463,5328.035707
464,5328.035707
465,5328.035707
466,5328.035707
467,5328.035707
468,5328.035707
469,5328.035707
470,5328.035707
471,5328.035707
472,5328.035707
473,5328.035707
474,5328.035707
475,5328.035707
476,5328.035707
477,5328.035707
478,5328.035707
479,5328.035707
480,5328.035707
481,5328.035707
482,5328.035707
483,5328.035707
484,5328.035707
485,5328.035707
486,5328.035707
487,5328.035707
488,5279.937047
489,5279.937047
490,5279.937047
491,5279.937047
492,5279.937047
493,5279.937047
494,5279.937047
495,5279.937047
496,5279.937047
497,5279.937047
498,5279.937047
499,5279.937047
500,5279.937047
501,5279.937047
502,5279.937047
503,5279.937047
504,5279.937047
505,5279.937047
506,5279.937047
507,5279.937047
508,5279.937047
509,5279.937047
510,5279.937047
511,5279.937047
512,5279.937047
513,5279.937047
514,5279.937047
515,5279.937047
516,5279.937047
517,5279.937047
518,5279.937047
519,5279.937047
520,5279.937047
521,5279.937047
522,5279.937047
523,5279.937047
524,5279.937047
525,5279.937047
526,5279.937047
527,5279.937047
528,5279.937047
529,5279.937047
530,5279.937047
531,5279.937047
532,5279.937047
533,5279.937047
534,5279.937047
535,5279.937047
536,5279.937047
537,5279.937047
538,5279.937047
539,5279.937047
540,5279.937047
541,5279.937047
542,5279.937047
543,5279.937047
544,5279.937047
545,5279.937047
546,5279.937047
547,5279.937047
548,5279.937047
549,5279.937047
550,5279.937047
551,5279.937047
552,5279.937047
553,5279.937047
554,5279.937047
555,5279.937047
556,5279.937047
557,5279.937047
558,5279.937047
559,5279.937047
560,5279.937047
561,5279.937047
562,5279.937047
563,5279.937047
564,5279.937047
565,5279.937047
566,5279.937047
567,5279.937047
568,5279.937047
569,5279.937047
570,5279.937047
571,5279.937047
572,5279.937047
573,5279.937047
574,5279.937047
575,5279.937047
576,5279.937047
577,5279.937047
578,5279.937047
579,5279.937047
580,5279.937047
581,5279.937047
582,5279.937047
583,5279.937047
584,5279.937047
585,5279.937047
586,5279.937047
587,5279.937047
588,5279.937047
589,5279.937047
590,5279.937047
591,5279.937047
592,5279.937047
593,5279.937047
594,5279.937047
595,5279.937047
596,5279.937047
597,5279.937047
598,5279.937047
599,5279.937047
600,5279.937047
601,5279.937047
602,5279.937047
603,5279.937047
604,5279.937047
605,5279.937047
606,5279.937047
607,5279.937047
608,5279.937047
609,5279.937047
610,5279.937047
611,5279.937047
612,5279.937047
613,5279.937047
614,5279.937047
615,5279.937047
616,5227.292771
617,5203.536057
618,5203.536057
619,5203.536057
620,5203.536057
621,5203.536057
622,5203.536057
623,5203.536057
624,5203.536057
625,5203.536057
626,5203.536057
627,5203.536057
628,5203.536057
629,5203.536057
630,5203.536057
631,5203.536057
632,5203.536057
633,5203.536057
634,5203.536057
635,5203.536057
636,5203.536057
637,5203.536057
638,5203.536057
639,5203.536057
640,5203.536057
641,5203.536057
642,5203.536057
643,5203.536057
644,5203.536057
645,5203.536057
646,5203.536057
647,5203.536057
648,5203.536057
649,5203.536057
650,5203.536057
651,5203.536057
652,5203.536057
653,5203.536057
654,5203.536057
655,5203.536057
656,5203.536057
657,5203.536057
658,5203.536057
659,5203.536057
660,5203.536057
661,5203.536057
662,5203.536057
663,5203.536057
664,5203.536057
665,5203.536057
666,5203.536057
667,5203.536057
668,5203.536057
669,5203.536057
670,5203.536057
671,5203.536057
672,5203.536057
673,5203.536057
674,5203.536057
675,5203.536057
676,5203.536057
677,5203.536057
678,5203.536057
679,5203.536057
680,5203.536057
681,5203.536057
682,5203.536057
683,5203.536057
684,5203.536057
685,5203.536057
686,5203.536057
687,5203.536057
688,5203.536057
689,5203.536057
690,5203.536057
691,5203.536057
692,5203.536057
693,5203.536057
694,5203.536057
695,5203.536057
696,5203.536057
697,5203.536057
698,5203.536057
699,5203.536057
700,5203.536057
701,5203.536057
702,5203.536057
703,5203.536057
704,5203.536057
705,5203.536057
706,5203.536057
707,5203.536057
708,5203.536057
709,5203.536057
710,5203.536057
711,5203.536057
712,5178.732141
713,5178.732141
714,5178.732141
715,5178.732141
716,5178.732141
717,5178.732141
718,5178.732141
719,5178.732141
720,5152.417489
721,5152.417489
722,5152.417489
723,5152.417489
724,5152.417489
725,5152.417489
726,5152.417489
727,5152.417489
728,5152.417489
729,5110.432213
730,5110.432213
731,5110.432213
732,5110.432213
733,5110.432213
734,5110.432213
735,5110.432213
736,5110.432213
737,5110.432213
738,5110.432213
739,5110.432213
740,5110.432213
741,5110.432213
742,5110.432213
743,5110.432213
744,5110.432213
745,5110.432213
746,5110.432213
747,5110.432213
748,5110.432213
749,5110.432213
750,5110.432213
751,5110.432213
752,5110.432213
753,5110.432213
754,5110.432213
755,5110.432213
756,5110.432213
757,5110.432213
758,5110.432213
759,5110.432213
760,5110.432213
761,5110.432213
762,5110.432213
763,5110.432213
764,5110.432213
765,5110.432213
766,5110.432213
767,5110.432213
768,5110.432213
769,5110.432213
770,5110.432213
771,5110.432213
772,5110.432213
773,5110.432213
774,5110.432213
775,5110.432213
776,5110.432213
777,5110.432213
778,5110.432213
779,5110.432213
780,5110.432213
781,5110.432213
782,5110.432213
783,5110.432213
784,5110.432213
785,5110.432213
786,5110.432213
787,5110.432213
788,5110.432213
789,5110.432213
790,5110.432213
791,5110.432213
792,5110.432213
793,5110.432213
794,5110.432213
795,5110.432213
796,5110.432213
797,5110.432213
798,5110.432213
799,5110.432213
800,5110.432213
801,5110.432213
802,5110.432213
803,5088.409324
804,5088.409324
805,5088.409324
806,5088.409324
807,5088.409324
808,5088.409324
809,5088.409324
810,5088.409324
811,5088.409324
812,5088.409324
813,5088.409324
814,5088.409324
815,5088.409324
816,5088.409324
817,5088.409324
818,5088.409324
819,5088.409324
820,5088.409324
821,5088.409324
822,5088.409324
823,5088.409324
824,5088.409324
825,5088.409324
826,5088.409324
827,5088.409324
828,5088.409324
829,5088.409324
830,5088.409324
831,5088.409324
832,5088.409324
833,5088.409324
834,5088.409324
835,5088.409324
836,5088.409324
837,5088.409324
838,5088.409324
839,5088.409324
840,5088.409324
841,5088.409324
842,5088.409324
843,5088.409324
844,5088.409324
845,5088.409324
846,5088.409324
847,5088.409324
848,5088.409324
849,5088.409324
850,5088.409324
851,5088.409324
852,5088.409324
853,5088.409324
854,5088.409324
855,5088.409324
856,5088.409324
857,5088.409324
858,5088.409324
859,5088.409324
860,5088.409324
861,5088.409324
862,5088.409324
863,5088.409324
864,5088.409324
865,5088.409324
866,5088.409324
867,5088.409324
868,5088.409324
869,5088.409324
870,5088.409324
871,5088.409324
872,5088.409324
873,5088.409324
874,5088.409324
875,5088.409324
876,5088.409324
877,5088.409324
878,5088.409324
879,5088.409324
880,5088.409324
881,5001.069806
882,5001.069806
883,5001.069806
884,5001.069806
885,5001.069806
886,5001.069806
887,5001.069806
888,5001.069806
889,5001.069806
890,5001.069806
891,5001.069806
892,5001.069806
893,5001.069806
894,5001.069806
895,5001.069806
896,5001.069806
897,5001.069806
898,5001.069806
899,5001.069806
900,5001.069806
901,5001.069806
902,5001.069806
903,5001.069806
904,5001.069806
905,5001.069806
906,5001.069806
907,5001.069806
908,5001.069806
909,5001.069806
910,5001.069806
911,5001.069806
912,5001.069806
913,5001.069806
914,5001.069806
915,5001.069806
916,5001.069806
917,5001.069806
918,5001.069806
919,5001.069806
920,5001.069806
921,5001.069806
922,5001.069806
923,5001.069806
924,5001.069806
925,5001.069806
926,5001.069806
927,5001.069806
928,5001.069806
929,5001.069806
930,5001.069806
931,5001.069806
932,5001.069806
933,5001.069806
934,5001.069806
935,5001.069806
936,5001.069806
937,5001.069806
938,5001.069806
939,5001.069806
940,5001.069806
941,5001.069806
942,5001.069806
943,5001.069806
944,5001.069806
945,5001.069806
946,5001.069806
947,5001.069806
948,5001.069806
949,5001.069806
950,5001.069806
951,5001.069806
952,5001.069806
953,5001.069806
954,5001.069806
955,5001.069806
956,5001.069806
957,4969.932601
958,4969.932601
959,4969.932601
960,4969.932601
961,4969.932601
962,4926.329962
963,4926.329962
964,4926.329962
965,4926.329962
966,4926.329962
967,4926.329962
968,4926.329962
969,4926.329962
970,4926.329962
971,4926.329962
972,4926.329962
973,4926.329962
974,4926.329962
975,4926.329962
976,4926.329962
977,4926.329962
978,4909.110676
979,4909.110676
980,4909.110676
981,4909.110676
982,4909.110676
983,4909.110676
984,4909.110676
985,4909.110676
986,4909.110676
987,4909.110676
988,4909.110676
989,4909.110676
990,4909.110676
991,4909.110676
992,4909.110676
993,4909.110676
994,4909.110676
995,4909.110676
996,4909.110676
997,4909.110676
998,4909.110676
999,4909.110676
1000,4909.110676
